Date,Open,High,Low,Close,Volume,MarketCap,CryptoName,market_billion,Change
2018-09-15,209.81,226.6,209.61,223.07,1670490000.0,22749647321.0,ethereum,22.749647321,0.06320003812973639
2018-09-14,212.67,222.79,204.87,211.75,2232190000.0,21590366996.0,ethereum,21.590366996,-0.004325951003902702
2018-09-13,183.68,214.0,183.68,211.35,2330720000.0,21545775837.0,ethereum,21.545775837,0.15064242160278737
2018-09-12,185.42,185.59,170.26,183.33,1874850000.0,18685319378.0,ethereum,18.685319378,-0.011271707474921665
2018-09-11,198.18,198.51,180.6,185.07,1568900000.0,18858381966.0,ethereum,18.858381966,-0.06615198304571608
2018-09-10,197.85,201.88,189.58,197.08,1502960000.0,20078523984.0,ethereum,20.078523984,-0.0038918372504421622
2018-09-09,198.38,207.67,188.31,196.92,1585980000.0,20058708800.0,ethereum,20.0587088,-0.00735961286420006
2018-09-08,217.91,220.37,193.26,197.95,1517200000.0,20159309964.0,ethereum,20.159309964,-0.09159744848790789
2018-09-07,229.53,233.9,217.07,217.2,1678260000.0,22115522904.0,ethereum,22.115522904,-0.053718468174094945
2018-09-06,231.65,231.75,218.12,230.22,2097310000.0,23435751842.0,ethereum,23.435751842,-0.006173105978847428
2018-09-05,286.05,288.16,232.33,232.33,2390390000.0,23646371777.0,ethereum,23.646371777,-0.18779933578045796
2018-09-04,289.3,291.58,284.25,285.72,1554870000.0,29074743101.0,ethereum,29.074743101,-0.012374697545800152
2018-09-03,295.18,295.59,287.43,289.26,1394490000.0,29428616901.0,ethereum,29.428616901,-0.020055559319737164
2018-09-02,295.45,298.69,290.93,294.37,1321050000.0,29942718225.0,ethereum,29.942718225,-0.003655440852936145
2018-09-01,283.5,301.14,283.5,295.34,1546630000.0,30035327410.0,ethereum,30.03532741,0.04176366843033501
2018-08-31,284.12,284.55,278.51,283.0,1411910000.0,28774922508.0,ethereum,28.774922508,-0.003941996339574844
2018-08-30,289.75,291.24,275.21,284.11,1513100000.0,28881058148.0,ethereum,28.881058148,-0.01946505608282998
2018-08-29,296.16,297.07,287.29,289.31,1474460000.0,29404459725.0,ethereum,29.404459725,-0.023129389519178898
2018-08-28,286.65,297.4,283.57,296.5,1513350000.0,30128902937.0,ethereum,30.128902937,0.034362462933891585
2018-08-27,275.35,285.6,273.65,285.6,1406790000.0,29015874948.0,ethereum,29.015874948,0.03722534955511167
2018-08-26,279.52,279.52,272.44,275.2,1206650000.0,27953028997.0,ethereum,27.953028997,-0.015455065827132203
2018-08-25,283.28,283.51,278.47,279.65,1208360000.0,28399212923.0,ethereum,28.399212923,-0.012814176786218568
2018-08-24,278.11,283.3,273.86,282.97,1450170000.0,28730705349.0,ethereum,28.730705349,0.017475099780662376
2018-08-23,271.75,279.55,271.09,277.1,1271160000.0,28129662664.0,ethereum,28.129662664,0.019687212511499623
2018-08-22,281.97,297.49,265.0,271.34,1507660000.0,27539119679.0,ethereum,27.539119679,-0.03769904599780137
2018-08-21,273.33,285.97,273.33,281.94,1164120000.0,28609531323.0,ethereum,28.609531323,0.03150038415102628
2018-08-20,301.38,304.37,273.51,274.31,1413790000.0,27829775231.0,ethereum,27.829775231,-0.08982016059459816
2018-08-19,295.67,307.1,291.33,300.83,1447910000.0,30514025774.0,ethereum,30.514025774,0.01745188893022616
2018-08-18,316.79,320.45,286.55,295.81,1764020000.0,29998584852.0,ethereum,29.998584852,-0.06622683796837027
2018-08-17,287.68,316.17,287.35,315.73,1995460000.0,32011921283.0,ethereum,32.011921283,0.09750417130144609
2018-08-16,282.74,298.48,280.93,288.05,1552970000.0,29199228646.0,ethereum,29.199228646,0.018780505057650144
2018-08-15,280.39,303.59,280.12,282.36,1878150000.0,28617473116.0,ethereum,28.617473116,0.007025928171475543
2018-08-14,286.37,286.37,254.65,278.93,2137850000.0,28263969132.0,ethereum,28.263969132,-0.025980375039284832
2018-08-13,320.21,323.55,284.93,286.5,1751190000.0,29024490503.0,ethereum,29.024490503,-0.1052746635020767
2018-08-12,320.82,328.59,318.6,319.57,1625420000.0,32368768332.0,ethereum,32.368768332,-0.0038962658188392246
2018-08-11,334.26,334.26,308.49,322.11,1790370000.0,32619681420.0,ethereum,32.61968142,-0.03634894991922449
2018-08-10,365.78,367.05,329.59,334.18,1699400000.0,33834485092.0,ethereum,33.834485092,-0.08639072666630206
2018-08-09,356.97,370.95,353.61,365.59,1616610000.0,37007391031.0,ethereum,37.007391031,0.02414768748074053
2018-08-08,379.89,380.67,353.73,356.61,2016080000.0,36091566801.0,ethereum,36.091566801,-0.061280897101792554
2018-08-07,406.8,411.4,376.08,380.21,1828350000.0,38472420233.0,ethereum,38.472420233,-0.06536381514257628
2018-08-06,410.57,414.54,403.31,406.66,1384880000.0,41139790462.0,ethereum,41.139790462,-0.009523345592712493
2018-08-05,407.35,413.72,402.43,410.52,1396820000.0,41521715110.0,ethereum,41.52171511,0.007782005646250052
2018-08-04,418.24,420.19,403.78,407.25,1466540000.0,41183215694.0,ethereum,41.183215694,-0.026276778882938046
2018-08-03,412.57,420.55,399.91,418.26,1722340000.0,42287977978.0,ethereum,42.287977978,0.013791599001381579
2018-08-02,420.81,425.03,410.31,412.62,1569300000.0,41709183608.0,ethereum,41.709183608,-0.01946246524559777
2018-08-01,433.87,435.46,410.46,420.75,1888060000.0,42521937218.0,ethereum,42.521937218,-0.030239472653098863
2018-07-31,457.25,457.25,430.44,433.87,1820680000.0,43839034237.0,ethereum,43.839034237,-0.051131765992345535
2018-07-30,466.83,467.95,448.64,457.08,2141590000.0,46175217427.0,ethereum,46.175217427,-0.020885547201336677
2018-07-29,466.92,470.36,462.71,466.67,1631910016.0,47133881666.0,ethereum,47.133881666,-0.0005354236271738199
2018-07-28,469.68,471.59,462.99,466.9,1531890048.0,47147853886.0,ethereum,47.147853886,-0.005918923522398292
2018-07-27,464.01,473.22,458.29,469.67,1734259968.0,47417755376.0,ethereum,47.417755376,0.012198012973858377
2018-07-26,472.33,483.7,461.42,464.04,1621560064.0,46839932193.0,ethereum,46.839932193,-0.017551288294201012
2018-07-25,479.91,482.87,466.47,472.49,1930780032.0,47683830874.0,ethereum,47.683830874,-0.015461232314392314
2018-07-24,451.14,481.14,450.57,479.37,2287520000.0,48368209917.0,ethereum,48.368209917,0.06257481048011708
2018-07-23,459.44,469.77,449.73,450.85,1596999936.0,45481301491.0,ethereum,45.481301491,-0.01869667421208422
2018-07-22,462.44,470.9,458.12,459.66,1338589952.0,46360029757.0,ethereum,46.360029757,-0.00601159069284658
2018-07-21,450.68,468.08,445.78,462.44,1504310016.0,46630720739.0,ethereum,46.630720739,0.026093902547261894
2018-07-20,469.31,469.31,443.69,450.7,1821350016.0,45437819522.0,ethereum,45.437819522,-0.039653960069037555
2018-07-19,480.63,483.24,465.14,469.62,2068739968.0,47335899963.0,ethereum,47.335899963,-0.02290743399288432
2018-07-18,500.84,513.43,474.36,480.51,2371559936.0,48424155624.0,ethereum,48.424155624,-0.040591805766312564
2018-07-17,480.08,508.78,468.92,501.0,2288100096.0,50478766285.0,ethereum,50.478766285,0.043576070654890886
2018-07-16,450.42,480.66,446.8,480.66,1858680064.0,48419026521.0,ethereum,48.419026521,0.06713733848408154
2018-07-15,435.88,454.0,433.92,449.85,1350160000.0,45306414380.0,ethereum,45.30641438,0.032050105533633175
2018-07-14,434.51,439.43,431.47,436.09,1235820032.0,43911193561.0,ethereum,43.911193561,0.003636279947527063
2018-07-13,430.74,442.36,430.74,434.03,1489670016.0,43694988769.0,ethereum,43.694988769,0.007638018294098443
2018-07-12,446.5,446.5,422.81,430.07,1495440000.0,43288294177.0,ethereum,43.288294177,-0.03679731243001121
2018-07-11,434.52,447.32,429.51,446.52,1422470016.0,44934271235.0,ethereum,44.934271235,0.027616680475006906
2018-07-10,476.16,478.32,433.96,434.42,1789069952.0,43708241775.0,ethereum,43.708241775,-0.08765961021505378
2018-07-09,488.88,490.85,475.17,476.68,1533799936.0,47950212027.0,ethereum,47.950212027,-0.024954999181803283
2018-07-08,492.07,503.2,488.42,489.12,1344560000.0,49191161178.0,ethereum,49.191161178,-0.005995082000528357
2018-07-07,474.06,491.66,466.84,491.66,1358360064.0,49436674025.0,ethereum,49.436674025,0.03712610218115855
2018-07-06,474.36,479.65,457.61,474.01,1627609984.0,47652424064.0,ethereum,47.652424064,-0.0007378362425162803
2018-07-05,467.29,483.23,464.63,474.41,1828610048.0,47682968020.0,ethereum,47.68296802,0.015236790857925495
2018-07-04,464.15,481.44,455.18,467.32,1549769984.0,46960391871.0,ethereum,46.960391871,0.006829688678229056
2018-07-03,475.39,483.85,462.58,464.2,1683939968.0,46637067239.0,ethereum,46.637067239,-0.023538568333368388
2018-07-02,453.82,479.13,447.11,475.35,1625789952.0,47747743959.0,ethereum,47.747743959,0.04744171698030063
2018-07-01,455.24,457.14,446.39,453.92,1511730048.0,45585861718.0,ethereum,45.585861718,-0.002899569457868362
2018-06-30,436.21,458.8,436.21,455.18,1475939968.0,45703302056.0,ethereum,45.703302056,0.043488228146993484
2018-06-29,422.59,441.79,407.95,436.01,1564499968.0,43769409548.0,ethereum,43.769409548,0.0317565489008259
2018-06-28,442.29,443.62,419.68,422.36,1360790016.0,42391125054.0,ethereum,42.391125054,-0.0450609328720975
2018-06-27,432.24,444.24,424.84,442.36,1368940032.0,44389430889.0,ethereum,44.389430889,0.023412918748843246
2018-06-26,460.73,461.21,432.77,432.77,1356560000.0,43417898248.0,ethereum,43.417898248,-0.06068630217263915
2018-06-25,455.94,470.34,448.9,460.31,4007950080.0,46171165114.0,ethereum,46.171165114,0.009584594464183895
2018-06-24,474.77,475.36,426.47,457.67,2490579968.0,45897156207.0,ethereum,45.897156207,-0.0360174400235903
2018-06-23,466.27,479.13,462.39,474.52,1651379968.0,47577076102.0,ethereum,47.577076102,0.017693610997919662
2018-06-22,527.19,527.19,456.88,465.82,2226030080.0,46694859628.0,ethereum,46.694859628,-0.11640964358201039
2018-06-21,536.45,543.72,524.26,527.37,1462070016.0,52853921455.0,ethereum,52.853921455,-0.016926088172243527
2018-06-20,538.51,541.02,519.37,536.27,1596290048.0,53735032875.0,ethereum,53.735032875,-0.0041596256336929845
2018-06-19,519.02,542.35,516.31,537.96,1726569984.0,53893191559.0,ethereum,53.893191559,0.03649185002504731
2018-06-18,499.38,521.8,494.07,518.89,1513869952.0,51972519171.0,ethereum,51.972519171,0.039068444871640816
2018-06-17,499.46,507.64,498.65,500.45,1264870016.0,50114921288.0,ethereum,50.114921288,0.0019821407119689446
2018-06-16,490.41,503.22,488.85,499.64,1314109952.0,50024018701.0,ethereum,50.024018701,0.018820986521481946
2018-06-15,520.48,521.3,487.47,491.0,1808269952.0,49149084090.0,ethereum,49.14908409,-0.05664002459268371
2018-06-14,478.38,523.54,467.47,519.74,2458650112.0,52015066663.0,ethereum,52.015066663,0.086458463982608
2018-06-13,498.02,501.9,459.0,477.49,2080130048.0,47777150787.0,ethereum,47.777150787,-0.04122324404642379
2018-06-12,532.71,538.96,491.23,496.84,1932760064.0,49702985162.0,ethereum,49.702985162,-0.06733494772014803
2018-06-11,524.86,536.86,515.27,533.28,1982119936.0,53337466294.0,ethereum,53.337466294,0.016042373204282968
2018-06-10,594.34,594.34,511.89,526.48,2234880000.0,52645885461.0,ethereum,52.645885461,-0.11417707036376487
2018-06-09,600.91,608.58,597.56,597.56,1519309952.0,59741701633.0,ethereum,59.741701633,-0.005574878101546027
2018-06-08,605.44,608.81,595.59,601.08,1637779968.0,60080608858.0,ethereum,60.080608858,-0.007201374207188182
2018-06-07,607.69,616.14,601.69,605.19,1880140032.0,60478879395.0,ethereum,60.478879395,-0.004113939673188632
2018-06-06,610.26,611.64,596.4,607.12,1756530048.0,60659842641.0,ethereum,60.659842641,-0.00514534788450822
2018-06-05,593.41,611.33,580.98,609.3,1844269952.0,60864980395.0,ethereum,60.864980395,0.026777438870258317
2018-06-04,619.44,623.43,583.75,592.98,1903430016.0,59222873880.0,ethereum,59.22287388,-0.04271600154978696
2018-06-03,591.26,624.51,591.26,618.33,1832550016.0,61740821846.0,ethereum,61.740821846,0.04578358082738567
2018-06-02,580.43,597.08,577.32,591.81,1880390016.0,59080880117.0,ethereum,59.080880117,0.019606154058198225
2018-06-01,578.67,589.09,567.66,580.04,1945890048.0,57894350583.0,ethereum,57.894350583,0.0023674978830767186
2018-05-31,558.5,585.54,557.07,577.65,1985040000.0,57643138807.0,ethereum,57.643138807,0.034288272157564866
2018-05-30,566.83,583.14,545.43,559.59,2053970048.0,55829809817.0,ethereum,55.829809817,-0.012772789019635532
2018-05-29,516.15,572.26,516.15,565.39,2330820096.0,56396587656.0,ethereum,56.396587656,0.09539862443088251
2018-05-28,573.04,576.05,512.55,516.04,2356900096.0,51463146627.0,ethereum,51.463146627,-0.09946949602122017
2018-05-27,588.52,590.33,562.87,572.67,1788790016.0,57099072056.0,ethereum,57.099072056,-0.026931964928974417
2018-05-26,587.43,606.17,583.51,587.28,1694300032.0,58544016481.0,ethereum,58.544016481,-0.00025534957356617344
2018-05-25,602.14,617.19,575.62,586.73,2110919936.0,58477440268.0,ethereum,58.477440268,-0.02559205500381966
2018-05-24,584.54,610.82,557.21,601.76,2791099904.0,59962094302.0,ethereum,59.962094302,0.029459061826393452
2018-05-23,646.67,651.64,572.95,583.59,2995429888.0,58139666822.0,ethereum,58.139666822,-0.0975458889387167
2018-05-22,700.18,700.98,644.03,647.74,2230469888.0,64517663406.0,ethereum,64.517663406,-0.07489502699305885
2018-05-21,717.19,719.28,692.49,699.22,2005170048.0,69631032596.0,ethereum,69.631032596,-0.025056121808725757
2018-05-20,697.92,723.75,692.67,715.37,2156910080.0,71224213260.0,ethereum,71.22421326,0.025002865657955134
2018-05-19,695.07,715.58,686.79,696.53,2021549952.0,69334147807.0,ethereum,69.334147807,0.002100507862517333
2018-05-18,672.1,695.03,663.81,694.37,2305740032.0,69104455849.0,ethereum,69.104455849,0.03313495015622672
2018-05-17,708.72,718.83,668.83,672.66,2350619904.0,66929938612.0,ethereum,66.929938612,-0.05088046054859473
2018-05-16,708.09,710.2,682.54,707.05,2476130048.0,70337446111.0,ethereum,70.337446111,-0.0014687398494542744
2018-05-15,731.14,739.05,700.99,708.87,2523069952.0,70504110201.0,ethereum,70.504110201,-0.03045928276390292
